"id","chat_id","expense_date","expense_time","submitted_at","vendor","amount_original","currency","amount_sgd","exchange_rate","category","location","payment_method","comment","parsed_by","parsing_time","provider_tier","confidence_score","receipt_image_url","drive_file_id","needs_review","review_fields","current_fix_index","conversation_state","created_at","updated_at","user_id","bot_id"
0,"1256744399","2025-12-31","19:45:00","2026-01-01 10:58:00","Soybar","9.40","MYR","2.77","0.294681","Meals - Dinner","Puchong, Malaysia","Own $$$","Vendor type: General Food Vendor, Meal categorization: Time-based (19:45), OCR quality: 85%, Currency: MYR with 2 decimals, No fields require verification","Groq Llama 3.3 70B","1.18","free",93,"https://drive.google.com/file/d/1Mb-k5ZoNUa28yBbiSH7SzRZU07JJToz4/view","1Mb-k5ZoNUa28yBbiSH7SzRZU07JJToz4",False,"{}",0,"completed","2026-01-01 02:58:53.590424","2026-01-13 12:36:27.200106",1,1
36,"1256744399","2025-12-29","11:50:00","2026-01-01 11:15:00","AEON","17.45","MYR","5.15","0.295129","Meals - Lunch","Kuala Lumpur, Malaysia","Own $$$","AEON is a supermarket, but items include SET SUSHI SERI PESONA which is a meal. Time is 11:50, so categorized as lunch. OCR quality is 85%. Currency is MYR with 2 decimals.","Groq Llama 3.3 70B","1.13","free",93,"https://drive.google.com/file/d/1zwm65iG_BctYe88HWhovm14BL4bnLdNk/view","1zwm65iG_BctYe88HWhovm14BL4bnLdNk",False,"{}",0,"completed","2026-01-01 03:19:06.03011","2026-01-13 12:36:27.200106",1,1
37,"1256744399","2025-12-29","19:37:00","2026-01-01 11:21:00","Auro Capital Sdn Bhd","17.90","MYR","5.28","0.294972","Meals - Dinner","Malaysia","Own $$$","Vendor type: General food vendor. Time-based categorization: 19:37 falls under 'Meals - Dinner'. OCR quality: 85%. Currency: MYR with 2 decimals applied. No dual-currency pattern detected. Tax amount has medium confidence due to ambiguous formatting.","Alibaba Qwen Turbo","2.72","paid",85,"https://drive.google.com/file/d/1uwQbY9-z1YryZEB-0iC2EBFpmwAJhxnu/view","1uwQbY9-z1YryZEB-0iC2EBFpmwAJhxnu",False,"{}",0,"completed","2026-01-01 03:21:50.49531","2026-01-13 12:36:27.200106",1,1
38,"1256744399","2025-12-30","11:42:00","2026-01-01 11:44:00","QingHeGu","180.95","MYR","53.38","0.294999","Meals - Lunch","Petaling Jaya, Selangor","Own $$$","Vendor type: General food vendor. Meal categorized as Lunch based on time (11:42 AM). OCR quality: 85%. Currency formatted correctly with 2 decimals (MYR). No dual-currency pattern detected.","Alibaba Qwen Turbo","12.08","paid",88,"https://drive.google.com/file/d/1_RFYxVurJk4Pf2PAcHm6eVIklR5pglSd/view","1_RFYxVurJk4Pf2PAcHm6eVIklR5pglSd",False,"{}",0,"completed","2026-01-01 03:44:35.796069","2026-01-13 12:36:27.200106",1,1
39,"1256744399","2025-12-10","20:14:00","2026-01-01 11:46:00","TOP LEADER SDN BHD","15.25","MYR","4.50","0.295082","Meals - Dinner","Petaling Jaya, Malaysia","Own $$$","Vendor type: General food vendor. Time-based categorization: 20:14 falls under Meals - Dinner. OCR quality: 85%. Currency formatted correctly with 2 decimals (MYR). No dual-currency pattern detected.","Alibaba Qwen Turbo","6.49","paid",88,"https://drive.google.com/file/d/1Z63xTeW733B-XztGUtAjhkVi2_zuui3T/view","1Z63xTeW733B-XztGUtAjhkVi2_zuui3T",False,"{}",0,"completed","2026-01-01 03:46:25.348467","2026-01-13 12:36:27.200106",1,1
44,"1256744399","2025-05-25","13:35:00","2026-01-01 05:42:33.092","Bangali","72.75","MYR","21.46","0.294983","Meals - XXX","Malaysia","Own $$$","Vendor and date/time not found, location inferred from 'RM' and 'https://elnvoice.zeoniq.com/MY/YVGAM3A/003', MYR with 2 decimals, fields requiring verification: date, time, vendor, category","Groq Llama 3.3 70B","0.93","free",58,"https://drive.google.com/file/d/1po16jgPE5SJEyS60OaIIoWW9De8qWPLE/view","1po16jgPE5SJEyS60OaIIoWW9De8qWPLE",False,"{date,time,vendor}",0,"completed","2026-01-01 05:42:33.206677","2026-01-13 12:36:27.200106",1,1
45,"1256744399","2025-12-22","12:48:00","2026-01-01 13:43:00","福满源水饺城","109.90","MYR","32.42","0.294995","Meals - Lunch","Puchong, Malaysia","Own $$$","Vendor is a restaurant, categorized as 'Meals - Lunch' based on time. OCR quality is 85%, MYR with 2 decimals applied.","Together AI Qwen 2.5 72B","2.71","free",93,"https://drive.google.com/file/d/1NLwOkILvEabN4gd-JuuuM3yLO1AXgDvW/view","1NLwOkILvEabN4gd-JuuuM3yLO1AXgDvW",False,"{}",0,"completed","2026-01-01 05:43:39.8474","2026-01-13 12:36:27.200106",1,1
46,"1256744399","2025-12-26","13:29:00","2026-01-01 05:47:31.522","TescoLa","177.45","MYR","52.35","0.295013","Meals - Lunch","Kinrara, Puchong","Own $$$","Vendor and location are unclear due to lack of explicit information. Meal categorized as lunch based on time (13:29). OCR quality is 85%, and MYR with 2 decimals is applied. Vendor and location require verification. Location unknown, currency requires verification.","Together AI Qwen 2.5 72B","2.94","free",83,"https://drive.google.com/file/d/1w5UmbRfUbevq8ExQht3QkXBPmtCSBd83/view","1w5UmbRfUbevq8ExQht3QkXBPmtCSBd83",False,"{vendor,location,currency}",0,"completed","2026-01-01 05:47:31.645323","2026-01-13 12:36:27.200106",1,1
47,"1256744399","2025-12-26","13:29:00","2026-01-01 05:47:31.522","TescoLa","177.45","MYR","52.35","0.295013","Meals - Lunch","Kinrara, Puchong","Own $$$","Vendor and location are unclear due to lack of explicit information. Meal categorized as lunch based on time (13:29). OCR quality is 85%, and MYR with 2 decimals is applied. Vendor and location require verification. Location unknown, currency requires verification.","Together AI Qwen 2.5 72B","2.94","free",83,"https://drive.google.com/file/d/1w5UmbRfUbevq8ExQht3QkXBPmtCSBd83/view","1w5UmbRfUbevq8ExQht3QkXBPmtCSBd83",False,"{vendor,location,currency}",3,"completed","2026-01-01 05:51:22.6915","2026-01-13 12:36:27.200106",1,1
48,"1256744399","2023-01-01","19:29:00","2026-01-01 05:53:45.044","L'grass Chicken Dried Vermicel","72.75","MYR","21.46","0.294983","Meals - XXX","TTDI, Bangsar","Company Card","Vendor type is a restaurant. Meal categorization requires time verification. OCR quality is 85%. MYR with 2 decimals. Fields requiring verification: date, time, location, category. Location unknown, currency requires verification.","Together AI Qwen 2.5 72B","2.66","free",78,"https://drive.google.com/file/d/1bBWHwKBJa_qYpKCu5Yoht-fzFvBjvm6L/view","1bBWHwKBJa_qYpKCu5Yoht-fzFvBjvm6L",False,"{date,time,location,currency}",4,"completed","2026-01-01 05:53:45.146914","2026-01-13 12:36:27.200106",1,1
